"cliente_id","score"
2049,1.94365
2056,1.94365
2078,1.94365
2091,1.94365
2103,1.94365
2110,1.94365
2113,1.94365
2116,1.94365
2124,1.94365
2136,1.94365
2158,1.94365
2167,1.94365
2175,1.94365
2205,1.94365
2214,1.94365
2226,1.94365
2232,1.94365
2244,1.94365
2247,1.94365
2297,1.94365
2306,1.94365
2317,1.94365
2320,1.94365
2338,1.94365
2353,1.94365
2363,1.94365
2394,1.94365
2397,1.94365
2418,1.94365
2422,1.94365
2424,1.94365
2426,1.94365
2433,1.94365
2440,1.94365
2456,1.94365
2468,1.94365
2479,1.94365
2483,1.94365
2484,1.94365
2485,1.94365
2498,1.94365
2504,1.94365
2507,1.94365
2515,1.94365
2516,1.94365
2517,1.94365
2537,1.94365
2624,1.94365
2647,1.94365
2652,1.94365
2663,1.94365
2702,1.94365
2705,1.94365
2718,1.94365
2733,1.94365
2734,1.94365
2735,1.94365
2750,1.94365
2755,1.94365
2769,1.94365
2787,1.94365
2794,1.94365
2802,1.94365
2803,1.94365
2813,1.94365
2827,1.94365
2847,1.94365
2870,1.94365
2881,1.94365
2884,1.94365
2894,1.94365
2911,1.94365
2917,1.94365
2928,1.94365
2930,1.94365
2933,1.94365
2938,1.94365
2939,1.94365
2944,1.94365
2957,1.94365
2967,1.94365
2983,1.94365
2989,1.94365
2995,1.94365
3021,1.94365
3058,1.94365
3069,1.94365
3074,1.94365
3076,1.94365
3083,1.94365
3104,1.94365
3105,1.94365
3113,1.94365
3127,1.94365
3129,1.94365
3147,1.94365
3149,1.94365
3166,1.94365
3181,1.94365
3205,1.94365
3206,1.94365
3207,1.94365
3225,1.94365
3241,1.94365
3256,1.94365
3258,1.94365
3279,1.94365
3299,1.94365
3312,1.94365
3313,1.94365
3316,1.94365
3318,1.94365
3342,1.94365
3343,1.94365
3345,1.94365
3382,1.94365
3398,1.94365
3413,1.94365
3428,1.94365
3462,1.94365
3474,1.94365
3505,1.94365
3519,1.94365
3522,1.94365
3547,1.94365
3549,1.94365
3551,1.94365
3560,1.94365
3564,1.94365
3594,1.94365
3607,1.94365
3610,1.94365
3621,1.94365
3629,1.94365
3631,1.94365
3656,1.94365
3660,1.94365
3671,1.94365
3683,1.94365
3693,1.94365
3698,1.94365
3703,1.94365
3710,1.94365
3724,1.94365
3731,1.94365
3739,1.94365
3794,1.94365
3815,1.94365
3830,1.94365
3832,1.94365
3835,1.94365
3844,1.94365
3846,1.94365
3847,1.94365
3864,1.94365
3865,1.94365
3869,1.94365
3872,1.94365
3890,1.94365
3921,1.94365
3927,1.94365
3933,1.94365
3950,1.94365
3959,1.94365
3977,1.94365
3996,1.94365
4001,1.94365
4013,1.94365
4016,1.94365
4028,1.94365
4031,1.94365
4040,1.94365
4041,1.94365
4051,1.94365
4058,1.94365
4063,1.94365
4084,1.94365
4100,1.94365
4106,1.94365
4144,1.94365
4154,1.94365
4171,1.94365
4175,1.94365
4199,1.94365
4211,1.94365
4225,1.94365
4232,1.94365
4254,1.94365
4265,1.94365
4278,1.94365
4283,1.94365
4308,1.94365
4310,1.94365
4338,1.94365
4341,1.94365
4389,1.94365
4403,1.94365
4415,1.94365
4428,1.94365
4448,1.94365
4454,1.94365
4456,1.94365
4466,1.94365
4490,1.94365
4499,1.94365
4506,1.94365
4509,1.94365
4516,1.94365
4521,1.94365
4530,1.94365
4568,1.94365
4577,1.94365
4580,1.94365
4592,1.94365
4606,1.94365
4613,1.94365
4628,1.94365
4652,1.94365
4658,1.94365
4662,1.94365
4666,1.94365
4697,1.94365
4723,1.94365
4734,1.94365
4756,1.94365
4765,1.94365
4771,1.94365
4817,1.94365
4824,1.94365
4827,1.94365
4878,1.94365
4887,1.94365
4891,1.94365
4896,1.94365
4897,1.94365
4909,1.94365
4964,1.94365
5001,1.94365
